,Attack,Defense,Generation,HP,Sp. Atk,Sp. Def,Speed,Total,label
37,92.0,87.0,1.0,90.0,75.0,85.0,76.0,505.0,0.0
38,72.0,57.0,1.0,61.0,55.0,55.0,65.0,365.0,0.0
39,102.0,77.0,1.0,81.0,85.0,75.0,85.0,505.0,0.0
40,45.0,48.0,1.0,70.0,60.0,65.0,35.0,323.0,0.0
41,70.0,73.0,1.0,95.0,95.0,90.0,60.0,483.0,0.0
42,41.0,40.0,1.0,38.0,50.0,65.0,65.0,299.0,0.0
43,76.0,75.0,1.0,73.0,81.0,100.0,100.0,505.0,0.0
44,45.0,20.0,1.0,115.0,45.0,25.0,20.0,270.0,0.0
45,70.0,45.0,1.0,140.0,85.0,50.0,45.0,435.0,0.0
47,80.0,70.0,1.0,75.0,65.0,75.0,90.0,455.0,0.0
48,50.0,55.0,1.0,45.0,75.0,65.0,30.0,320.0,0.0
49,65.0,70.0,1.0,60.0,85.0,75.0,40.0,395.0,0.0
50,80.0,85.0,1.0,75.0,110.0,90.0,50.0,490.0,0.0
51,70.0,55.0,1.0,35.0,45.0,55.0,25.0,285.0,0.0
52,95.0,80.0,1.0,60.0,60.0,80.0,30.0,405.0,0.0
53,55.0,50.0,1.0,60.0,40.0,55.0,45.0,305.0,0.0
54,65.0,60.0,1.0,70.0,90.0,75.0,90.0,450.0,0.0
55,55.0,25.0,1.0,10.0,35.0,45.0,95.0,265.0,0.0
56,80.0,50.0,1.0,35.0,50.0,70.0,120.0,405.0,0.0
57,45.0,35.0,1.0,40.0,40.0,40.0,90.0,290.0,0.0
58,70.0,60.0,1.0,65.0,65.0,65.0,115.0,440.0,0.0
59,52.0,48.0,1.0,50.0,65.0,50.0,55.0,320.0,0.0
60,82.0,78.0,1.0,80.0,95.0,80.0,85.0,500.0,0.0
61,80.0,35.0,1.0,40.0,35.0,45.0,70.0,305.0,0.0
62,105.0,60.0,1.0,65.0,60.0,70.0,95.0,455.0,0.0
63,70.0,45.0,1.0,55.0,70.0,50.0,60.0,350.0,0.0
64,110.0,80.0,1.0,90.0,100.0,80.0,95.0,555.0,0.0
65,50.0,40.0,1.0,40.0,40.0,40.0,90.0,300.0,0.0
66,65.0,65.0,1.0,65.0,50.0,50.0,90.0,385.0,0.0
67,95.0,95.0,1.0,90.0,70.0,90.0,70.0,510.0,0.0
68,20.0,15.0,1.0,25.0,105.0,55.0,90.0,310.0,0.0
69,35.0,30.0,1.0,40.0,120.0,70.0,105.0,400.0,0.0
70,50.0,45.0,1.0,55.0,135.0,95.0,120.0,500.0,0.0
72,80.0,50.0,1.0,70.0,35.0,35.0,35.0,305.0,0.0
73,100.0,70.0,1.0,80.0,50.0,60.0,45.0,405.0,0.0
74,130.0,80.0,1.0,90.0,65.0,85.0,55.0,505.0,0.0
75,75.0,35.0,1.0,50.0,70.0,30.0,40.0,300.0,0.0
76,90.0,50.0,1.0,65.0,85.0,45.0,55.0,390.0,0.0
77,105.0,65.0,1.0,80.0,100.0,70.0,70.0,490.0,0.0
78,40.0,35.0,1.0,40.0,50.0,100.0,70.0,335.0,0.0
79,70.0,65.0,1.0,80.0,80.0,120.0,100.0,515.0,0.0
80,80.0,100.0,1.0,40.0,30.0,30.0,20.0,300.0,0.0
81,95.0,115.0,1.0,55.0,45.0,45.0,35.0,390.0,0.0
82,120.0,130.0,1.0,80.0,55.0,65.0,45.0,495.0,0.0
83,85.0,55.0,1.0,50.0,65.0,65.0,90.0,410.0,0.0
84,100.0,70.0,1.0,65.0,80.0,80.0,105.0,500.0,0.0
85,65.0,65.0,1.0,90.0,40.0,40.0,15.0,315.0,0.0
86,75.0,110.0,1.0,95.0,100.0,80.0,30.0,490.0,0.0
88,35.0,70.0,1.0,25.0,95.0,55.0,45.0,325.0,0.0
89,60.0,95.0,1.0,50.0,120.0,70.0,70.0,465.0,0.0
90,65.0,55.0,1.0,52.0,58.0,62.0,60.0,352.0,0.0
91,85.0,45.0,1.0,35.0,35.0,35.0,75.0,310.0,0.0
92,110.0,70.0,1.0,60.0,60.0,60.0,100.0,460.0,0.0
93,45.0,55.0,1.0,65.0,45.0,70.0,45.0,325.0,0.0
94,70.0,80.0,1.0,90.0,70.0,95.0,70.0,475.0,0.0
95,80.0,50.0,1.0,80.0,40.0,50.0,25.0,325.0,0.0
96,105.0,75.0,1.0,105.0,65.0,100.0,50.0,500.0,0.0
97,65.0,100.0,1.0,30.0,45.0,25.0,40.0,305.0,0.0
98,95.0,180.0,1.0,50.0,85.0,45.0,70.0,525.0,0.0
99,35.0,30.0,1.0,30.0,100.0,35.0,80.0,310.0,0.0
100,50.0,45.0,1.0,45.0,115.0,55.0,95.0,405.0,0.0
101,65.0,60.0,1.0,60.0,130.0,75.0,110.0,500.0,0.0
102,65.0,80.0,1.0,60.0,170.0,95.0,130.0,600.0,0.0
103,45.0,160.0,1.0,35.0,30.0,45.0,70.0,385.0,0.0
104,48.0,45.0,1.0,60.0,43.0,90.0,42.0,328.0,0.0
105,73.0,70.0,1.0,85.0,73.0,115.0,67.0,483.0,0.0
106,105.0,90.0,1.0,30.0,25.0,25.0,50.0,325.0,0.0
107,130.0,115.0,1.0,55.0,50.0,50.0,75.0,475.0,0.0
108,30.0,50.0,1.0,40.0,55.0,55.0,100.0,330.0,0.0
109,50.0,70.0,1.0,60.0,80.0,80.0,140.0,480.0,0.0
110,40.0,80.0,1.0,60.0,60.0,45.0,40.0,325.0,0.0
111,95.0,85.0,1.0,95.0,125.0,65.0,55.0,520.0,0.0
112,50.0,95.0,1.0,50.0,40.0,50.0,35.0,320.0,0.0
113,80.0,110.0,1.0,60.0,50.0,80.0,45.0,425.0,0.0
114,120.0,53.0,1.0,50.0,35.0,110.0,87.0,455.0,0.0
115,105.0,79.0,1.0,50.0,35.0,110.0,76.0,455.0,0.0
116,55.0,75.0,1.0,90.0,60.0,75.0,30.0,385.0,0.0
117,65.0,95.0,1.0,40.0,60.0,45.0,35.0,340.0,0.0
118,90.0,120.0,1.0,65.0,85.0,70.0,60.0,490.0,0.0
119,85.0,95.0,1.0,80.0,30.0,30.0,25.0,345.0,0.0
120,130.0,120.0,1.0,105.0,45.0,45.0,40.0,485.0,0.0
122,55.0,115.0,1.0,65.0,100.0,40.0,60.0,435.0,0.0
123,95.0,80.0,1.0,105.0,40.0,80.0,90.0,490.0,0.0
124,125.0,100.0,1.0,105.0,60.0,100.0,100.0,590.0,0.0
125,40.0,70.0,1.0,30.0,70.0,25.0,60.0,295.0,0.0
126,65.0,95.0,1.0,55.0,95.0,45.0,85.0,440.0,0.0
127,67.0,60.0,1.0,45.0,35.0,50.0,63.0,320.0,0.0
128,92.0,65.0,1.0,80.0,65.0,80.0,68.0,450.0,0.0
129,45.0,55.0,1.0,30.0,70.0,55.0,85.0,340.0,0.0
130,75.0,85.0,1.0,60.0,100.0,85.0,115.0,520.0,0.0
131,45.0,65.0,1.0,40.0,100.0,120.0,90.0,460.0,0.0
132,110.0,80.0,1.0,70.0,55.0,80.0,105.0,500.0,0.0
133,50.0,35.0,1.0,65.0,115.0,95.0,95.0,455.0,0.0
134,83.0,57.0,1.0,65.0,95.0,85.0,105.0,490.0,0.0
135,95.0,57.0,1.0,65.0,100.0,85.0,93.0,495.0,0.0
136,125.0,100.0,1.0,65.0,55.0,70.0,85.0,500.0,0.0
137,155.0,120.0,1.0,65.0,65.0,90.0,105.0,600.0,0.0
138,100.0,95.0,1.0,75.0,40.0,70.0,110.0,490.0,0.0
139,10.0,55.0,1.0,20.0,15.0,20.0,80.0,200.0,0.0
140,125.0,79.0,1.0,95.0,60.0,100.0,81.0,540.0,0.0
141,155.0,109.0,1.0,95.0,70.0,130.0,81.0,640.0,0.0
142,85.0,80.0,1.0,130.0,85.0,95.0,60.0,535.0,0.0
143,48.0,48.0,1.0,48.0,48.0,48.0,48.0,288.0,0.0
144,55.0,50.0,1.0,55.0,45.0,65.0,55.0,325.0,0.0
145,65.0,60.0,1.0,130.0,110.0,95.0,65.0,525.0,0.0
146,65.0,60.0,1.0,65.0,110.0,95.0,130.0,525.0,0.0
147,130.0,60.0,1.0,65.0,95.0,110.0,65.0,525.0,0.0
148,60.0,70.0,1.0,65.0,85.0,75.0,40.0,395.0,0.0
149,40.0,100.0,1.0,35.0,90.0,55.0,35.0,355.0,0.0
150,60.0,125.0,1.0,70.0,115.0,70.0,55.0,495.0,0.0
151,80.0,90.0,1.0,30.0,55.0,45.0,55.0,355.0,0.0
152,115.0,105.0,1.0,60.0,65.0,70.0,80.0,495.0,0.0
153,105.0,65.0,1.0,80.0,60.0,75.0,130.0,515.0,0.0
154,135.0,85.0,1.0,80.0,70.0,95.0,150.0,615.0,0.0
155,110.0,65.0,1.0,160.0,65.0,110.0,30.0,540.0,0.0
156,85.0,100.0,1.0,90.0,95.0,125.0,85.0,580.0,1.0
157,90.0,85.0,1.0,90.0,125.0,90.0,100.0,580.0,1.0
158,100.0,90.0,1.0,90.0,125.0,85.0,90.0,580.0,1.0
159,64.0,45.0,1.0,41.0,50.0,50.0,50.0,300.0,0.0
160,84.0,65.0,1.0,61.0,70.0,70.0,70.0,420.0,0.0
161,134.0,95.0,1.0,91.0,100.0,100.0,80.0,600.0,0.0
165,100.0,100.0,1.0,100.0,100.0,100.0,100.0,600.0,0.0
166,49.0,65.0,2.0,45.0,49.0,65.0,45.0,318.0,0.0
167,62.0,80.0,2.0,60.0,63.0,80.0,60.0,405.0,0.0
168,82.0,100.0,2.0,80.0,83.0,100.0,80.0,525.0,0.0
169,52.0,43.0,2.0,39.0,60.0,50.0,65.0,309.0,0.0
170,64.0,58.0,2.0,58.0,80.0,65.0,80.0,405.0,0.0
171,84.0,78.0,2.0,78.0,109.0,85.0,100.0,534.0,0.0
172,65.0,64.0,2.0,50.0,44.0,48.0,43.0,314.0,0.0
173,80.0,80.0,2.0,65.0,59.0,63.0,58.0,405.0,0.0
174,105.0,100.0,2.0,85.0,79.0,83.0,78.0,530.0,0.0
175,46.0,34.0,2.0,35.0,35.0,45.0,20.0,215.0,0.0
176,76.0,64.0,2.0,85.0,45.0,55.0,90.0,415.0,0.0
177,30.0,30.0,2.0,60.0,36.0,56.0,50.0,262.0,0.0
178,50.0,50.0,2.0,100.0,76.0,96.0,70.0,442.0,0.0
179,20.0,30.0,2.0,40.0,40.0,80.0,55.0,265.0,0.0
180,35.0,50.0,2.0,55.0,55.0,110.0,85.0,390.0,0.0
181,60.0,40.0,2.0,40.0,40.0,40.0,30.0,250.0,0.0
182,90.0,70.0,2.0,70.0,60.0,60.0,40.0,390.0,0.0
183,90.0,80.0,2.0,85.0,70.0,80.0,130.0,535.0,0.0
184,38.0,38.0,2.0,75.0,56.0,56.0,67.0,330.0,0.0
185,58.0,58.0,2.0,125.0,76.0,76.0,67.0,460.0,0.0
186,40.0,15.0,2.0,20.0,35.0,35.0,60.0,205.0,0.0
188,30.0,15.0,2.0,90.0,40.0,20.0,15.0,210.0,0.0
189,20.0,65.0,2.0,35.0,40.0,65.0,20.0,245.0,0.0
190,40.0,85.0,2.0,55.0,80.0,105.0,40.0,405.0,0.0
191,50.0,45.0,2.0,40.0,70.0,45.0,70.0,320.0,0.0
192,75.0,70.0,2.0,65.0,95.0,70.0,95.0,470.0,0.0
193,40.0,40.0,2.0,55.0,65.0,45.0,35.0,280.0,0.0
194,55.0,55.0,2.0,70.0,80.0,60.0,45.0,365.0,0.0
195,75.0,85.0,2.0,90.0,115.0,90.0,55.0,510.0,0.0
196,95.0,105.0,2.0,90.0,165.0,110.0,45.0,610.0,0.0
197,80.0,95.0,2.0,75.0,90.0,100.0,50.0,490.0,0.0
198,20.0,50.0,2.0,70.0,20.0,50.0,40.0,250.0,0.0
199,50.0,80.0,2.0,100.0,60.0,80.0,50.0,420.0,0.0
200,100.0,115.0,2.0,70.0,30.0,65.0,30.0,410.0,0.0
201,75.0,75.0,2.0,90.0,90.0,100.0,70.0,500.0,0.0
202,35.0,40.0,2.0,35.0,35.0,55.0,50.0,250.0,0.0
203,45.0,50.0,2.0,55.0,45.0,65.0,80.0,340.0,0.0
204,55.0,70.0,2.0,75.0,55.0,95.0,110.0,460.0,0.0
205,70.0,55.0,2.0,55.0,40.0,55.0,85.0,360.0,0.0
206,30.0,30.0,2.0,30.0,30.0,30.0,30.0,180.0,0.0
207,75.0,55.0,2.0,75.0,105.0,85.0,30.0,425.0,0.0
208,65.0,45.0,2.0,65.0,75.0,45.0,95.0,390.0,0.0
209,45.0,45.0,2.0,55.0,25.0,25.0,15.0,210.0,0.0
210,85.0,85.0,2.0,95.0,65.0,65.0,35.0,430.0,0.0
211,65.0,60.0,2.0,65.0,130.0,95.0,110.0,525.0,0.0
212,65.0,110.0,2.0,95.0,60.0,130.0,65.0,525.0,0.0
213,85.0,42.0,2.0,60.0,85.0,42.0,91.0,405.0,0.0
214,75.0,80.0,2.0,95.0,100.0,110.0,30.0,490.0,0.0
215,60.0,60.0,2.0,60.0,85.0,85.0,85.0,435.0,0.0
216,72.0,48.0,2.0,48.0,72.0,48.0,48.0,336.0,0.0
217,33.0,58.0,2.0,190.0,33.0,58.0,33.0,405.0,0.0
218,80.0,65.0,2.0,70.0,90.0,65.0,85.0,455.0,0.0
219,65.0,90.0,2.0,50.0,35.0,35.0,15.0,290.0,0.0
220,90.0,140.0,2.0,75.0,60.0,60.0,40.0,465.0,0.0
221,70.0,70.0,2.0,100.0,65.0,65.0,45.0,415.0,0.0
222,75.0,105.0,2.0,65.0,35.0,65.0,85.0,430.0,0.0
223,85.0,200.0,2.0,75.0,55.0,65.0,30.0,510.0,0.0
225,80.0,50.0,2.0,60.0,40.0,40.0,30.0,300.0,0.0
226,120.0,75.0,2.0,90.0,60.0,60.0,45.0,450.0,0.0
227,95.0,75.0,2.0,65.0,55.0,55.0,85.0,430.0,0.0
228,130.0,100.0,2.0,70.0,55.0,80.0,65.0,500.0,0.0
231,125.0,75.0,2.0,80.0,40.0,95.0,85.0,500.0,0.0
233,95.0,55.0,2.0,55.0,35.0,75.0,115.0,430.0,0.0
234,80.0,50.0,2.0,60.0,50.0,50.0,40.0,330.0,0.0
235,130.0,75.0,2.0,90.0,75.0,75.0,55.0,500.0,0.0
236,40.0,40.0,2.0,40.0,70.0,40.0,20.0,250.0,0.0
237,50.0,120.0,2.0,50.0,80.0,80.0,30.0,410.0,0.0
238,50.0,40.0,2.0,50.0,30.0,30.0,50.0,250.0,0.0
239,100.0,80.0,2.0,100.0,60.0,60.0,50.0,450.0,0.0
240,55.0,85.0,2.0,55.0,65.0,85.0,35.0,380.0,0.0
241,65.0,35.0,2.0,35.0,65.0,35.0,65.0,300.0,0.0
242,105.0,75.0,2.0,75.0,105.0,75.0,45.0,480.0,0.0
243,55.0,45.0,2.0,45.0,65.0,45.0,75.0,330.0,0.0
244,40.0,70.0,2.0,65.0,80.0,140.0,70.0,465.0,0.0
245,80.0,140.0,2.0,65.0,40.0,70.0,70.0,465.0,0.0
246,60.0,30.0,2.0,45.0,80.0,50.0,65.0,330.0,0.0
247,90.0,50.0,2.0,75.0,110.0,80.0,95.0,500.0,0.0
248,90.0,90.0,2.0,75.0,140.0,90.0,115.0,600.0,0.0
249,95.0,95.0,2.0,75.0,95.0,95.0,85.0,540.0,0.0
250,60.0,60.0,2.0,90.0,40.0,40.0,40.0,330.0,0.0
251,120.0,120.0,2.0,90.0,60.0,60.0,50.0,500.0,0.0
252,80.0,90.0,2.0,85.0,105.0,95.0,60.0,515.0,0.0
253,95.0,62.0,2.0,73.0,85.0,65.0,85.0,465.0,0.0
254,20.0,35.0,2.0,55.0,20.0,45.0,75.0,250.0,0.0
256,95.0,95.0,2.0,50.0,35.0,110.0,70.0,455.0,0.0
257,30.0,15.0,2.0,45.0,85.0,65.0,65.0,305.0,0.0
258,63.0,37.0,2.0,45.0,65.0,55.0,95.0,360.0,0.0
259,75.0,37.0,2.0,45.0,70.0,55.0,83.0,365.0,0.0
260,80.0,105.0,2.0,95.0,40.0,70.0,100.0,490.0,0.0
262,85.0,75.0,2.0,90.0,115.0,100.0,115.0,580.0,1.0
263,115.0,85.0,2.0,115.0,90.0,75.0,100.0,580.0,1.0
264,75.0,115.0,2.0,100.0,90.0,115.0,85.0,580.0,1.0
265,64.0,50.0,2.0,50.0,45.0,50.0,41.0,300.0,0.0
266,84.0,70.0,2.0,70.0,65.0,70.0,51.0,410.0,0.0
267,134.0,110.0,2.0,100.0,95.0,100.0,61.0,600.0,0.0
271,100.0,100.0,2.0,100.0,100.0,100.0,100.0,600.0,0.0
272,45.0,35.0,3.0,40.0,65.0,55.0,70.0,310.0,0.0
273,65.0,45.0,3.0,50.0,85.0,65.0,95.0,405.0,0.0
274,85.0,65.0,3.0,70.0,105.0,85.0,120.0,530.0,0.0
275,110.0,75.0,3.0,70.0,145.0,85.0,145.0,630.0,0.0
276,60.0,40.0,3.0,45.0,70.0,50.0,45.0,310.0,0.0
277,85.0,60.0,3.0,60.0,85.0,60.0,55.0,405.0,0.0
278,120.0,70.0,3.0,80.0,110.0,70.0,80.0,530.0,0.0
279,160.0,80.0,3.0,80.0,130.0,80.0,100.0,630.0,0.0
280,70.0,50.0,3.0,50.0,50.0,50.0,40.0,310.0,0.0
281,85.0,70.0,3.0,70.0,60.0,70.0,50.0,405.0,0.0
282,110.0,90.0,3.0,100.0,85.0,90.0,60.0,535.0,0.0
283,150.0,110.0,3.0,100.0,95.0,110.0,70.0,635.0,0.0
285,90.0,70.0,3.0,70.0,60.0,60.0,70.0,420.0,0.0
286,30.0,41.0,3.0,38.0,30.0,41.0,60.0,240.0,0.0
287,70.0,61.0,3.0,78.0,50.0,61.0,100.0,420.0,0.0
288,45.0,35.0,3.0,45.0,20.0,30.0,20.0,195.0,0.0
289,35.0,55.0,3.0,50.0,25.0,25.0,15.0,205.0,0.0
290,70.0,50.0,3.0,60.0,100.0,50.0,65.0,395.0,0.0
292,50.0,70.0,3.0,60.0,50.0,90.0,65.0,385.0,0.0
294,50.0,50.0,3.0,60.0,60.0,70.0,50.0,340.0,0.0
295,70.0,70.0,3.0,80.0,90.0,100.0,70.0,480.0,0.0
296,40.0,50.0,3.0,40.0,30.0,30.0,30.0,220.0,0.0
297,70.0,40.0,3.0,70.0,60.0,40.0,60.0,340.0,0.0
298,100.0,60.0,3.0,90.0,90.0,60.0,80.0,480.0,0.0
299,55.0,30.0,3.0,40.0,30.0,30.0,85.0,270.0,0.0
300,85.0,60.0,3.0,60.0,50.0,50.0,125.0,430.0,0.0
301,30.0,30.0,3.0,40.0,55.0,30.0,85.0,270.0,0.0
302,50.0,100.0,3.0,60.0,85.0,70.0,65.0,430.0,0.0
303,25.0,25.0,3.0,28.0,45.0,35.0,40.0,198.0,0.0
304,35.0,35.0,3.0,38.0,65.0,55.0,50.0,278.0,0.0
305,65.0,65.0,3.0,68.0,125.0,115.0,80.0,518.0,0.0
307,30.0,32.0,3.0,40.0,50.0,52.0,65.0,269.0,0.0
308,60.0,62.0,3.0,70.0,80.0,82.0,60.0,414.0,0.0
309,40.0,60.0,3.0,60.0,40.0,60.0,35.0,295.0,0.0
310,130.0,80.0,3.0,60.0,60.0,60.0,70.0,460.0,0.0
311,60.0,60.0,3.0,60.0,35.0,35.0,30.0,280.0,0.0
312,80.0,80.0,3.0,80.0,55.0,55.0,90.0,440.0,0.0
314,45.0,90.0,3.0,31.0,30.0,30.0,40.0,266.0,0.0
315,90.0,45.0,3.0,61.0,50.0,50.0,160.0,456.0,0.0
317,51.0,23.0,3.0,64.0,51.0,23.0,28.0,240.0,0.0
318,71.0,43.0,3.0,84.0,71.0,43.0,48.0,360.0,0.0
319,91.0,63.0,3.0,104.0,91.0,73.0,68.0,490.0,0.0
320,60.0,30.0,3.0,72.0,20.0,30.0,25.0,237.0,0.0
321,120.0,60.0,3.0,144.0,40.0,60.0,50.0,474.0,0.0
322,20.0,40.0,3.0,50.0,20.0,40.0,20.0,190.0,0.0
323,45.0,135.0,3.0,30.0,45.0,90.0,30.0,375.0,0.0
324,45.0,45.0,3.0,50.0,35.0,35.0,50.0,260.0,0.0
325,65.0,65.0,3.0,70.0,55.0,55.0,70.0,380.0,0.0
326,75.0,75.0,3.0,50.0,65.0,65.0,50.0,380.0,0.0
327,85.0,125.0,3.0,50.0,85.0,115.0,20.0,480.0,0.0
328,85.0,85.0,3.0,50.0,55.0,55.0,50.0,380.0,0.0
329,105.0,125.0,3.0,50.0,55.0,95.0,50.0,480.0,0.0
330,70.0,100.0,3.0,50.0,40.0,40.0,30.0,330.0,0.0
331,90.0,140.0,3.0,60.0,50.0,50.0,40.0,430.0,0.0
332,110.0,180.0,3.0,70.0,60.0,60.0,50.0,530.0,0.0
334,40.0,55.0,3.0,30.0,40.0,55.0,60.0,280.0,0.0
335,60.0,75.0,3.0,60.0,60.0,75.0,80.0,410.0,0.0
336,100.0,85.0,3.0,60.0,80.0,85.0,100.0,510.0,0.0
337,45.0,40.0,3.0,40.0,65.0,40.0,65.0,295.0,0.0
338,75.0,60.0,3.0,70.0,105.0,60.0,105.0,475.0,0.0
339,75.0,80.0,3.0,70.0,135.0,80.0,135.0,575.0,0.0
340,50.0,40.0,3.0,60.0,85.0,75.0,95.0,405.0,0.0
341,40.0,50.0,3.0,60.0,75.0,85.0,95.0,405.0,0.0
342,73.0,55.0,3.0,65.0,47.0,75.0,85.0,400.0,0.0
343,47.0,55.0,3.0,65.0,73.0,75.0,85.0,400.0,0.0
344,60.0,45.0,3.0,50.0,100.0,80.0,65.0,400.0,0.0
345,43.0,53.0,3.0,70.0,43.0,53.0,40.0,302.0,0.0
346,73.0,83.0,3.0,100.0,73.0,83.0,55.0,467.0,0.0
347,90.0,20.0,3.0,45.0,65.0,20.0,65.0,305.0,0.0
348,120.0,40.0,3.0,70.0,95.0,40.0,95.0,460.0,0.0
349,140.0,70.0,3.0,70.0,110.0,65.0,105.0,560.0,0.0
350,70.0,35.0,3.0,130.0,70.0,35.0,60.0,400.0,0.0
351,90.0,45.0,3.0,170.0,90.0,45.0,60.0,500.0,0.0
352,60.0,40.0,3.0,60.0,65.0,45.0,35.0,305.0,0.0
353,100.0,70.0,3.0,70.0,105.0,75.0,40.0,460.0,0.0
354,120.0,100.0,3.0,70.0,145.0,105.0,20.0,560.0,0.0
355,85.0,140.0,3.0,70.0,85.0,70.0,20.0,470.0,0.0
356,25.0,35.0,3.0,60.0,70.0,80.0,60.0,330.0,0.0
357,45.0,65.0,3.0,80.0,90.0,110.0,80.0,470.0,0.0
358,60.0,60.0,3.0,60.0,60.0,60.0,60.0,360.0,0.0
359,100.0,45.0,3.0,45.0,45.0,45.0,10.0,290.0,0.0
360,70.0,50.0,3.0,50.0,50.0,50.0,70.0,340.0,0.0
361,100.0,80.0,3.0,80.0,80.0,80.0,100.0,520.0,0.0
362,85.0,40.0,3.0,50.0,85.0,40.0,35.0,335.0,0.0
363,115.0,60.0,3.0,70.0,115.0,60.0,55.0,475.0,0.0
364,40.0,60.0,3.0,45.0,40.0,75.0,50.0,310.0,0.0
365,70.0,90.0,3.0,75.0,70.0,105.0,80.0,490.0,0.0
366,110.0,110.0,3.0,75.0,110.0,105.0,80.0,590.0,0.0
367,115.0,60.0,3.0,73.0,60.0,60.0,90.0,458.0,0.0
368,100.0,60.0,3.0,73.0,100.0,60.0,65.0,458.0,0.0
369,55.0,65.0,3.0,70.0,95.0,85.0,70.0,440.0,0.0
370,95.0,85.0,3.0,70.0,55.0,65.0,70.0,440.0,0.0
371,48.0,43.0,3.0,50.0,46.0,41.0,60.0,288.0,0.0
372,78.0,73.0,3.0,110.0,76.0,71.0,60.0,468.0,0.0
373,80.0,65.0,3.0,43.0,50.0,35.0,35.0,308.0,0.0
374,120.0,85.0,3.0,63.0,90.0,55.0,55.0,468.0,0.0
375,40.0,55.0,3.0,40.0,40.0,70.0,55.0,300.0,0.0
376,70.0,105.0,3.0,60.0,70.0,120.0,75.0,500.0,0.0
377,41.0,77.0,3.0,66.0,61.0,87.0,23.0,355.0,0.0
378,81.0,97.0,3.0,86.0,81.0,107.0,43.0,495.0,0.0
379,95.0,50.0,3.0,45.0,40.0,50.0,75.0,355.0,0.0
380,125.0,100.0,3.0,75.0,70.0,80.0,45.0,495.0,0.0
382,60.0,79.0,3.0,95.0,100.0,125.0,81.0,540.0,0.0
383,70.0,70.0,3.0,70.0,70.0,70.0,70.0,420.0,0.0
384,90.0,70.0,3.0,60.0,60.0,120.0,40.0,440.0,0.0
385,75.0,35.0,3.0,44.0,63.0,33.0,45.0,295.0,0.0
386,115.0,65.0,3.0,64.0,83.0,63.0,65.0,455.0,0.0
387,165.0,75.0,3.0,64.0,93.0,83.0,75.0,555.0,0.0
388,40.0,90.0,3.0,20.0,30.0,90.0,25.0,295.0,0.0
389,70.0,130.0,3.0,40.0,60.0,130.0,25.0,455.0,0.0
390,68.0,83.0,3.0,99.0,72.0,87.0,51.0,460.0,0.0
391,50.0,70.0,3.0,65.0,95.0,80.0,65.0,425.0,0.0
392,130.0,60.0,3.0,65.0,75.0,60.0,75.0,465.0,0.0
393,150.0,60.0,3.0,65.0,115.0,60.0,115.0,565.0,0.0
394,23.0,48.0,3.0,95.0,23.0,48.0,23.0,260.0,0.0
395,50.0,50.0,3.0,50.0,50.0,50.0,50.0,300.0,0.0
